Date,PFE,UTX,DIS,V,BA,PG,JNJ,KO,UNH,MCD,WMT,NKE,MSFT,HD,AAPL,MMM,CSCO,VZ,IBM,MRK,GE,TRV,INTC,GS,AXP,JPM,DD,XOM,CAT,CVX,^DJI
2015-08-31,30.486717,88.13820799999999,99.732414,70.50070699999999,124.559649,67.278868,90.131651,37.140811,112.326624,90.793273,61.925552,54.772015,41.820566,112.27208799999998,109.36148500000002,136.637845,24.386991000000002,42.493291,140.030298,50.909214,23.489442,95.652988,27.240779999999997,184.59708799999999,74.350752,61.126629,49.783617,71.39223299999999,71.99578699999999,75.875785,16528.029297
2015-09-01,29.672981,86.319835,97.412377,68.18693499999999,121.471402,65.593805,88.319037,36.602402000000005,109.346134,89.312225,61.054975,53.242808,40.186949,109.559032,104.473386,133.138748,23.670835999999998,41.468135,135.097181,49.6613,22.599833,93.673625,26.553555,178.254611,71.71475,58.599555,48.352942999999996,68.393838,70.545321,73.25259799999999,16058.349609
2015-09-02,30.250164,87.782228,99.742205,68.83954,124.512002,66.460134,89.52744399999999,36.74409,110.89948999999999,91.767904,61.648116,54.257377000000005,41.666814,112.86315,108.95413799999999,135.77268899999999,24.17026,41.883738,137.341235,50.086726,23.252844,95.05725600000001,27.298047999999998,180.593884,72.625723,59.667601,48.961946999999995,69.485029,71.675551,73.130803,16351.379883000001
2015-09-03,30.174468,88.42684200000001,99.840096,69.610795,124.88373600000001,66.57437900000001,88.846518,36.989678999999995,110.666482,91.73924,62.049917,54.468667,41.801346,112.979419,107.04351899999999,136.25333500000002,24.405837,42.22546,138.97929,49.77475,23.196061,95.480034,27.756196999999997,181.13221399999998,72.935841,59.772498999999996,48.874947,70.016388,70.12148,73.318178,16374.759766
2015-09-04,29.682443,87.243453,98.8416,68.384698,123.68273899999998,65.46052399999999,87.570978,36.385149,109.08400900000001,90.630836,61.121942000000004,53.898676,40.946101,110.86711100000001,105.976666,134.426874,24.04776,41.394248,136.062976,48.772636,22.713401,93.933059,27.221690000000002,176.551551,71.792281,58.647234999999995,46.980267,68.754403,68.84997,71.828577,16102.379883000001
2015-09-08,30.780038,89.302351,101.81751899999999,69.739335,127.55260200000001,66.62198199999999,90.093288,36.74409,112.705252,92.474985,63.504059999999996,54.910903000000005,42.176117,112.8147,108.92504299999999,137.877903,24.782760999999997,42.37323,139.405371,49.812563,23.621935999999998,96.350279,28.157077,181.93481699999998,73.158734,60.230233999999996,47.956608,69.741218,69.980207,71.98784,16492.679688
2015-09-09,30.240702000000002,88.369111,99.761788,68.81976,126.437386,65.193961,88.44371899999999,36.177341,112.20798400000001,91.185038,62.298655000000004,53.982209,41.388137,110.431087,106.830148,135.40739399999998,24.443531,41.920681,137.341235,49.094068,23.233916,95.21902299999999,27.908913000000002,181.73905,72.800165,59.29569300000001,47.212270000000004,68.31792800000001,68.718111,70.189082,16253.570312
2015-09-10,30.865197,87.936167,100.437238,69.442702,127.295244,65.041635,88.923244,36.290689,113.855802,91.01304499999999,61.34198000000001,54.23772099999999,41.599548,110.934937,109.177209,135.330489,24.745070000000002,41.98533,138.430112,49.840927,23.356947,95.808817,27.937548,181.964179,72.98429200000001,59.753427,46.9996,68.811332,68.20950500000001,70.882359,16330.400391
2015-09-11,31.196371000000003,88.830923,102.277613,69.96676,128.362784,65.13683499999999,89.12464399999999,36.328803,115.73763600000001,93.076966,61.849017,54.945299,41.782127,111.855443,110.76778,135.791905,24.518915,42.234694,139.53793000000002,49.669292,23.612474,96.195573,28.128442,181.337763,73.16842700000001,59.658067,46.825599,68.97264399999999,68.40729499999999,71.004148,16433.089844
2015-09-14,30.950356,88.34987199999999,101.631522,69.225167,128.134019,64.79410899999999,89.498674,36.300216999999996,114.86010300000001,92.656536,61.49504399999999,54.97969499999999,41.35931,111.16748999999999,111.834625,135.359327,24.217376,42.16081,137.909339,49.907674,23.442123000000002,95.99252800000001,28.052084000000004,180.03599,72.819544,59.486416000000006,46.380931,68.78286700000001,68.53915500000001,70.985407,16370.959961000002
